Time,Time Code,Country Name,Country Code,"GDP per capita, PPP (constant 2011 international $) [NY.GDP.PCAP.PP.KD]",GINI index (World Bank estimate) [SI.POV.GINI],High-technology exports (% of manufactured exports) [TX.VAL.TECH.MF.ZS],"Population ages 15-64, total [SP.POP.1564.TO]",Labor force with advanced education (% of total working-age population with advanced education) [SL.TLF.ADVN.ZS]
2016,YR2016,Hungary,HUN,25664.136004531,..,14.0383384847731,6637582,70.9356002807617
2016,YR2016,Iceland,ISL,45630.9381699818,..,23.2478962473051,220576,89.6576995849609
2016,YR2016,India,IND,6095.72279590336,..,7.12968947378722,873908707,..
2016,YR2016,Indonesia,IDN,10766.3714478177,..,5.78637684993437,175328142,79.9269027709961
2016,YR2016,"Iran, Islamic Rep.",IRN,18497.6743334441,..,..,57086320,50.6300010681152
2016,YR2016,Iraq,IRQ,16242.0690194963,..,..,20962705,..
2016,YR2016,Ireland,IRL,63227.2079765883,..,29.0897906121416,3077557,78.1555023193359
2016,YR2016,Isle of Man,IMN,..,..,..,..,..
2016,YR2016,Israel,ISR,32688.4081041526,..,18.3810595760932,5180967,..
2016,YR2016,Italy,ITA,34655.2627627333,..,7.48838336089443,38609106,72.8825988769531
2016,YR2016,Jamaica,JAM,8179.62033999721,..,0.428804182509723,1945801,..
2016,YR2016,Japan,JPN,38282.5046733349,..,16.2207455666725,76831284,69.6600036621094
2016,YR2016,Jordan,JOR,8389.60457395155,..,1.91919462231635,5714481,..
2016,YR2016,Kazakhstan,KAZ,23447.015704281,..,30.3899640409814,11700856,..
2016,YR2016,Kenya,KEN,2926.53250207873,..,..,27372406,..
2016,YR2016,Kiribati,KIR,1955.15579891088,..,4.07410138124489,70219,..
2016,YR2016,"Korea, Dem. People’s Rep.",PRK,..,..,..,17626841,..
2016,YR2016,"Korea, Rep.",KOR,35020.4115062331,..,26.5832050303408,37364822,..
2016,YR2016,Kosovo,XKX,9451.90893950694,26.5,..,..,49.4500007629395
2016,YR2016,Kuwait,KWT,68861.7920978832,..,1.91050671147353,3113472,..
2016,YR2016,Kyrgyz Republic,KGZ,3309.85992947551,26.8,18.4904063500974,3898697,..
2016,YR2016,Lao PDR,LAO,6073.22369456346,..,33.5807026179551,4242601,..
2016,YR2016,Latin America & Caribbean,LCN,14412.2372115999,..,12.1362915777731,426610730,76.0880396085071
2016,YR2016,Latin America & Caribbean (excluding high income),LAC,13528.4998936633,..,12.8746832035871,377470491,76.0619885308004
2016,YR2016,Latvia,LVA,23743.2578198778,..,12.5096874948083,1278276,83.3852005004883
2016,YR2016,Least developed countries: UN classification,LDC,2417.22471275639,..,..,553818904,..
2016,YR2016,Lebanon,LBN,13267.8856986827,..,2.37167115564393,4091304,..
2016,YR2016,Lesotho,LSO,2736.3548946839,..,..,1322124,..
2016,YR2016,Liberia,LBR,753.557379048622,..,..,2530636,..
2016,YR2016,Libya,LBY,14298.4550473411,..,..,4230347,..
2016,YR2016,Liechtenstein,LIE,..,..,..,..,..
2016,YR2016,Lithuania,LTU,28033.8739289417,..,11.7485602780508,1906357,81.9736022949219
2016,YR2016,Low & middle income,LMY,9646.69645487059,..,18.0798556333354,4052461718,..
2016,YR2016,Low income,LIC,1829.84474041584,..,..,387667194,..
2016,YR2016,Lower middle income,LMC,6295.70697293223,..,10.1885624285183,1874316658,..
2016,YR2016,Luxembourg,LUX,94920.9587222948,..,7.60072487833312,404123,76.6365966796875
2016,YR2016,"Macao SAR, China",MAC,97751.7321632423,..,..,477620,88.3099975585938
