Time,Time Code,Country Name,Country Code,"GDP per capita, PPP (constant 2011 international $) [NY.GDP.PCAP.PP.KD]",GDP per capita (constant 2005 US$) [NY.GDP.PCAP.KD],GINI index (World Bank estimate) [SI.POV.GINI],High-technology exports (% of manufactured exports) [TX.VAL.TECH.MF.ZS],Population ages 15-64 (% of total) [SP.POP.1564.TO.ZS]
2016,YR2016,Greenland,GRL,..,50255.1169982346,..,2.24112800482959,..
2016,YR2016,Grenada,GRD,13167.0521552704,8676.33919559901,..,..,66.404204366503
2016,YR2016,Guam,GUM,..,32013.7693770213,..,..,65.6799430311364
2016,YR2016,Guatemala,GTM,7368.61032177815,3100.98132478359,..,5.44699554407166,59.7483040673859
2016,YR2016,Guinea,GIN,1894.44129905562,779.911076147514,..,..,54.4420327197876
2016,YR2016,Guinea-Bissau,GNB,1498.83983814272,585.16830694295,..,..,55.4496397528664
2016,YR2016,Guyana,GUY,7266.3352852239,3783.54332759748,..,0.177512412395614,65.4112294921913
2016,YR2016,Haiti,HTI,1654.17053675815,729.360457810966,..,..,61.9499316606274
2016,YR2016,Heavily indebted poor countries (HIPC),HPC,2113.66930616884,856.323438139461,..,..,53.6042892474284
2016,YR2016,High income,HIC,42350.8308677509,40858.4213458207,..,17.8093274907108,65.9158790307045
2016,YR2016,Honduras,HND,4406.77353237576,2144.86936715697,50,2.48277561295263,63.1740592724551
2016,YR2016,"Hong Kong SAR, China",HKG,54412.9249387607,36816.1498608515,..,12.121234474299,73.0221230279769
2016,YR2016,Hungary,HUN,25664.136004531,14997.2005200975,..,14.0383384847731,67.6336506658631
2016,YR2016,Iceland,ISL,45630.9381699818,48995.1685496011,..,23.2478962473051,65.7573223770882
2016,YR2016,India,IND,6095.72279590336,1862.43044438379,..,7.12968947378722,65.996647968568
2016,YR2016,Indonesia,IDN,10766.3714478177,3974.73166690467,..,5.78637684993437,67.1458306933772
2016,YR2016,"Iran, Islamic Rep.",IRN,18497.6743334441,6733.91249997748,..,..,71.1112966897744
2016,YR2016,Iraq,IRQ,16242.0690194963,5750.61136059944,..,..,56.3474616754992
2016,YR2016,Ireland,IRL,63227.2079765883,69892.3156470839,..,29.0897906121416,64.7179754544889
2016,YR2016,Isle of Man,IMN,..,..,..,..,..
2016,YR2016,Israel,ISR,32688.4081041526,33677.4619451632,..,18.3810595760932,60.6244662363516
2016,YR2016,Italy,ITA,34655.2627627333,34318.4968180439,..,7.48838336089443,63.6824995509839
2016,YR2016,Jamaica,JAM,8179.62033999721,4790.03910652627,..,0.428804182509723,67.5307624364231
2016,YR2016,Japan,JPN,38282.5046733349,47660.8930390239,..,16.2207455666725,60.4996889474557
